# DY 电源控制板功能测试用例 —— 数据源
# 字段分隔符： |   换行（在"示例响应"里）：\n
# 格式：模块|用例编号|功能项|前置条件|操作步骤|预期结果|示例响应
工控机安全关机|TC-12.1|关机命令下发|工控机运行中|触发工控机关机（过温/策略/手动）|从 USART3 发出 $OFF + 换行 + CC60$OVER|串口抓包：24 4F 46 46 0A 43 43 36 30 24 4F 56 45 52（$OFF\nCC60$OVER）
工控机安全关机|TC-12.2|30 秒延时|接 TC-12.1|用示波器/逻辑分析仪观察|命令发出后等待 30 秒才切断工控机供电|命令时刻与断电时刻相差约 30 秒
工控机安全关机|TC-12.3|不可逆性|接 TC-12.1|命令发出后立即撤销关机条件|仍会正常关完流程|工控机仍被关闭
工控机安全关机|TC-12.4|其他设备不受影响|接 TC-12.1|观察其余设备|若只是 IPC 过温，其余设备不受影响|sensor_state 中仅 0x80 归 0
看门狗|TC-13.1|正常运行不复位|板子正常运行|观察 10 分钟|不发生复位|无复位，日志连续无重启标记
看门狗|TC-13.2|任务卡死复位|需注入故障（仅测试用，测完必须恢复）|让某个任务停止上报心跳|约 3 秒内系统复位|[WARN ] TaskWdg: 心跳缺失，停止喂狗\n（3 秒内板子复位，随后重新启动）
看门狗|TC-13.3|复位后功能正常|接 TC-13.2|复位后重新测试|各功能恢复正常|复位后 $READ 正常应答
EEPROM 持久化|TC-14.1|规则持久化|已校时|下发 $STR → 断电 → 上电 → 发 $GETSTR|规则与下发时一致|$GETSTR 回读内容与下发一致
EEPROM 持久化|TC-14.2|上电自检|—|上电观察日志|有 EEPROM 自检通过提示|[INFO ] TaskSelftest: EEPROM 自检通过
EEPROM 持久化|TC-14.3|写寿命保护|板子运行|持续运行 30 分钟以上|运行期只读巡检，不反复写 EEPROM|每 10 分钟出现一次只读巡检日志，无写操作
上报节律|TC-15.1|未校时不上报|板子未校时|观察 10 分钟|不上报任何 $STAR|（无 $STAR 数据）
上报节律|TC-15.2|工控机开启期间上报|已校时，工控机开着|观察 5 分钟|每 2 分钟收到一次 $STAR|[INFO ] Protocol: 已上报设备状态包（间隔约 120 秒）
上报节律|TC-15.3|整点窗口上报|已校时|把 RTC 调到每小时 53 分 00 秒附近|该分钟内上报一次|[INFO ] Protocol: 已上报设备状态包
上报节律|TC-15.4|同分钟不重复|接 TC-15.3|持续观察 2 分钟|同一分钟内只上报一次|该分钟内仅出现一次上报
上报节律|TC-15.5|工控机关闭不上报|工控机关闭|观察 5 分钟|无周期性上报（整点窗口仍可上报）|无 2 分钟周期上报
异常与边界|TC-16.1|超长帧|任意链路|发一帧 300 字节的乱数据|不崩溃，被丢弃或截断处理|[WARN ] Protocol: 收到未知协议，已丢弃
异常与边界|TC-16.2|空帧|任意链路|发单个字节|不崩溃，被忽略|（无动作，无应答）
异常与边界|TC-16.3|半帧|任意链路|发半条 $READ 后停止|不产生错误动作|（无动作）
异常与边界|TC-16.4|连续乱码|任意链路|持续发随机数据 1 分钟|不崩溃，功能正常|之后发 $READ 仍正常应答
异常与边界|TC-16.5|频繁上下电|—|快速上下电 10 次|每次都能正常启动|10 次均正常
异常与边界|TC-16.6|长时间运行|已校时|连续运行 8 小时|无死机无复位无功能异常|8 小时后 $READ 仍正常
